1715	OTH
1716	OTH
1717	OTH
1718	OTH
1719	OTH
1720	OTH
1721	OTH
1722	OTH
1723	OTH
1724	OTH
1725	OTH
1726	OTH
1727	OTH
1728	OTH
1729	OTH
1730	OTH
1731	OTH
1732	OTH
1733	OTH
1734	OTH
1735	OTH
1736	OTH
1737	OTH
1738	OTH
1739	OTH
1740	OTH
1741	OTH
1742	OTH
1743	OTH
1744	OTH
1745	OTH
1746	OTH
1747	OTH
1748	OTH
1749	OTH
1750	OTH
1751	OTH
1752	OTH
1753	OTH
1754	OTH
1755	OTH
1756	OTH
1757	OTH
1758	OTH
1759	OTH
1760	OTH
1761	OTH
1762	OTH
1763	OTH
1764	OTH
1765	OTH
1766	OTH
1767	OTH
1768	OTH
1769	OTH
1770	OTH
1771	OTH
1772	OTH
1773	OTH
1774	OTH
1775	OTH
1776	OTH
1777	OTH
1778	OTH
1779	OTH
1780	OTH
1781	OTH
1782	OTH
1783	OTH
1784	OTH
1785	OTH
1786	OTH
1787	OTH
1788	OTH
1789	OTH
1790	OTH
1791	OTH
1792	OTH
1793	OTH
1794	OTH
1795	OTH
1796	OTH
1797	OTH
1798	OTH
1799	OTH
1800	OTH
1801	OTH
1802	OTH
1803	OTH
1804	OTH
1805	OTH
1806	OTH
1807	OTH
1808	OTH
1809	OTH
1810	OTH
1811	OTH
1812	OTH
1813	OTH
1814	OTH
1815	OTH
1816	OTH
1817	OTH
1818	OTH
1819	OTH
1820	OTH
1821	OTH
1822	OTH
1823	OTH
1824	OTH
1825	OTH
1826	OTH
1827	OTH
1828	OTH
1829	OTH
1830	OTH
1831	OTH
1832	OTH
1833	OTH
1834	OTH
1835	OTH
1836	OTH
1837	OTH
1838	OTH
1839	OTH
1840	OTH
1841	OTH
1842	OTH
1843	OTH
1844	OTH
1845	OTH
1846	OTH
1847	OTH
1848	OTH
1849	OTH
1850	OTH
1851	OTH
1852	OTH
1853	OTH
1854	OTH
1855	OTH
1856	OTH
1857	OTH
1858	OTH
1859	OTH
1860	OTH
1861	OTH
1862	OTH
1863	OTH
1864	OTH
1865	OTH
1866	OTH
1867	OTH
1868	OTH
1869	OTH
1870	OTH
1871	OTH
1872	OTH
1873	OTH
1874	OTH
1875	OTH
1876	OTH
1877	OTH
1878	OTH
1879	OTH
1880	OTH
1881	OTH
1882	OTH
1883	OTH
1884	OTH
1885	OTH
1886	OTH
1887	OTH
1888	OTH
1889	OTH
1890	OTH
1891	OTH
1892	OTH
1893	OTH
1894	OTH
1895	SVE
1896	SVE
1897	SVE
1898	SVE
1899	SVE
1900	SVE
1901	SVE
1902	SVE
1903	SVE
1904	SVE
1905	SVE
1906	SVE
1907	SVE
1908	SVE
1909	SVE
1910	SVE
1911	SVE
1912	SVE
1913	SVE
1914	SVE
1915	SVE
1916	SVE
1917	SVE
1918	SVE
1919	SVE
1920	SVE
1921	SVE
1922	SVE
1923	SVE
1924	SVE
1925	SVE
1926	SVE
1927	SVE
1928	SVE
1929	SVE
1930	SVE
1931	SVE
1932	SVE
1933	SVE
1934	SVE
1935	SVE
1936	SVE
1937	SVE
1938	SVE
1939	SVE
1940	SVE
1941	SVE
1942	SVE
1943	SVE
1944	SVE
1945	SVE
1946	SVE
1947	SVE
1948	SVE
1949	SVE
1950	SVE
1951	SVE
1952	SVE
1953	SVE
1954	SVE
1955	SVE
1956	SVE
1957	SVE
1958	SVE
1959	SVE
1960	SVE
1961	SVE
1962	SVE
1963	SVE
1964	SVE
1965	SVE
1966	SVE
1967	SVE
1968	SVE
1969	SVE
1970	SVE
1971	SVE
1972	SVE
1973	SVE
1974	SVE
1975	SVE
1976	SVE
1977	SVE
1978	SVE
1979	SVE
1980	SVE
1981	SVE
1982	SVE
1983	SVE
1984	SVE
1985	SVE
1986	SVE
1987	SVE
1988	SVE
1989	SVE
1990	SVE
1991	SVE
1992	GSR
1993	GSR
1994	GSR
1995	GSR
1996	GSR
1997	GSR
1998	GSR
